hs_section_name,date,year,month,weighted_share_rerouted
Arms and ammunition,2014-01-01,2014,1,0.0
Arms and ammunition,2014-02-01,2014,2,0.0
Arms and ammunition,2014-03-01,2014,3,0.0
Arms and ammunition,2014-04-01,2014,4,0.0
Arms and ammunition,2014-05-01,2014,5,0.0
Arms and ammunition,2014-06-01,2014,6,0.0
Arms and ammunition,2014-07-01,2014,7,0.0
Arms and ammunition,2014-08-01,2014,8,0.0
Arms and ammunition,2014-09-01,2014,9,0.0
Arms and ammunition,2014-10-01,2014,10,0.0
Arms and ammunition,2014-11-01,2014,11,0.0
Arms and ammunition,2014-12-01,2014,12,0.0
Arms and ammunition,2015-01-01,2015,1,0.0
Arms and ammunition,2015-02-01,2015,2,0.0
Arms and ammunition,2015-03-01,2015,3,0.0
Arms and ammunition,2015-04-01,2015,4,0.0
Arms and ammunition,2015-05-01,2015,5,0.0
Arms and ammunition,2015-06-01,2015,6,0.0
Arms and ammunition,2015-07-01,2015,7,0.0
Arms and ammunition,2015-08-01,2015,8,0.0
Arms and ammunition,2015-09-01,2015,9,0.0
Arms and ammunition,2015-10-01,2015,10,0.0
Arms and ammunition,2015-11-01,2015,11,0.0
Arms and ammunition,2015-12-01,2015,12,0.0
Arms and ammunition,2016-01-01,2016,1,0.0
Arms and ammunition,2016-02-01,2016,2,0.0
Arms and ammunition,2016-03-01,2016,3,0.0
Arms and ammunition,2016-04-01,2016,4,0.0
Arms and ammunition,2016-05-01,2016,5,0.0
Arms and ammunition,2016-06-01,2016,6,0.0
Arms and ammunition,2016-07-01,2016,7,0.0
Arms and ammunition,2016-08-01,2016,8,0.0
Arms and ammunition,2016-09-01,2016,9,0.0
Arms and ammunition,2016-10-01,2016,10,0.0
Arms and ammunition,2016-11-01,2016,11,0.0
Arms and ammunition,2016-12-01,2016,12,0.0
Arms and ammunition,2017-01-01,2017,1,0.0
Arms and ammunition,2017-02-01,2017,2,0.0
Arms and ammunition,2017-03-01,2017,3,0.0
Arms and ammunition,2017-04-01,2017,4,0.0
Arms and ammunition,2017-05-01,2017,5,0.0
Arms and ammunition,2017-06-01,2017,6,0.0
Arms and ammunition,2017-07-01,2017,7,0.0
Arms and ammunition,2017-08-01,2017,8,0.0
Arms and ammunition,2017-09-01,2017,9,0.0
Arms and ammunition,2017-10-01,2017,10,0.0
Arms and ammunition,2017-11-01,2017,11,0.0
Arms and ammunition,2017-12-01,2017,12,0.0
Arms and ammunition,2018-01-01,2018,1,0.0
Arms and ammunition,2018-02-01,2018,2,0.0
Arms and ammunition,2018-03-01,2018,3,0.0
Arms and ammunition,2018-04-01,2018,4,0.0
Arms and ammunition,2018-05-01,2018,5,0.0
Arms and ammunition,2018-06-01,2018,6,0.0
Arms and ammunition,2018-07-01,2018,7,0.0
Arms and ammunition,2018-08-01,2018,8,0.0
Arms and ammunition,2018-09-01,2018,9,0.0
Arms and ammunition,2018-10-01,2018,10,0.0
Arms and ammunition,2018-11-01,2018,11,0.0
Arms and ammunition,2018-12-01,2018,12,0.0
Arms and ammunition,2019-01-01,2019,1,0.0
Arms and ammunition,2019-02-01,2019,2,0.0
Arms and ammunition,2019-03-01,2019,3,0.0
Arms and ammunition,2019-04-01,2019,4,0.0
Articles of metal,2014-01-01,2014,1,8.719844306240024
Articles of metal,2014-02-01,2014,2,8.321366161100501
Articles of metal,2014-03-01,2014,3,8.228766776924948
Articles of metal,2014-04-01,2014,4,8.72562312960558
Articles of metal,2014-05-01,2014,5,8.8873983439665
Articles of metal,2014-06-01,2014,6,9.652196265389618
Articles of metal,2014-07-01,2014,7,10.010028680125226
Articles of metal,2014-08-01,2014,8,9.339441960566853
Articles of metal,2014-09-01,2014,9,8.929568676267031
Articles of metal,2014-10-01,2014,10,9.756280921595755
Articles of metal,2014-11-01,2014,11,8.747100116760384
Articles of metal,2014-12-01,2014,12,8.602577468782949
Articles of metal,2015-01-01,2015,1,10.134539981804755
Articles of metal,2015-02-01,2015,2,9.3505392185498
Articles of metal,2015-03-01,2015,3,9.552823714862722
Articles of metal,2015-04-01,2015,4,9.660653972281683
Articles of metal,2015-05-01,2015,5,9.680097457808131
Articles of metal,2015-06-01,2015,6,10.252693476360255
Articles of metal,2015-07-01,2015,7,10.836071487268136
Articles of metal,2015-08-01,2015,8,10.746967592621463
Articles of metal,2015-09-01,2015,9,9.9322024433344
Articles of metal,2015-10-01,2015,10,10.21362744037716
Articles of metal,2015-11-01,2015,11,9.245147449195203
Articles of metal,2015-12-01,2015,12,8.867545973388442
Articles of metal,2016-01-01,2016,1,10.603710386568109
Articles of metal,2016-02-01,2016,2,10.923700640069287
Articles of metal,2016-03-01,2016,3,9.822583187982305
Articles of metal,2016-04-01,2016,4,9.400367719132424
Articles of metal,2016-05-01,2016,5,10.151284813775755
Articles of metal,2016-06-01,2016,6,10.23136244917237
Articles of metal,2016-07-01,2016,7,10.593013017897778
Articles of metal,2016-08-01,2016,8,10.707088714471345
Articles of metal,2016-09-01,2016,9,10.796048240578656
Articles of metal,2016-10-01,2016,10,10.317713889414902
Articles of metal,2016-11-01,2016,11,10.351409132037825
Articles of metal,2016-12-01,2016,12,10.091671519772634
Articles of metal,2017-01-01,2017,1,11.099319704722554
Articles of metal,2017-02-01,2017,2,10.808965335735502
Articles of metal,2017-03-01,2017,3,10.79269552602689
Articles of metal,2017-04-01,2017,4,11.126295555242985
Articles of metal,2017-05-01,2017,5,11.90263108192366
Articles of metal,2017-06-01,2017,6,11.60359559747339
Articles of metal,2017-07-01,2017,7,11.11695930733455
Articles of metal,2017-08-01,2017,8,11.45367453115091
Articles of metal,2017-09-01,2017,9,11.06838962450232
Articles of metal,2017-10-01,2017,10,11.462768105286317
Articles of metal,2017-11-01,2017,11,12.246388156596497
Articles of metal,2017-12-01,2017,12,11.133494855729998
Articles of metal,2018-01-01,2018,1,10.753189758751901
Articles of metal,2018-02-01,2018,2,12.134655095406742
Articles of metal,2018-03-01,2018,3,12.234785869987977
Articles of metal,2018-04-01,2018,4,10.664800433760682
Articles of metal,2018-05-01,2018,5,12.804386682106502
Articles of metal,2018-06-01,2018,6,11.73425538215714
Articles of metal,2018-07-01,2018,7,12.543366638213893
Articles of metal,2018-08-01,2018,8,12.376113802949925
Articles of metal,2018-09-01,2018,9,11.618044080651838
Articles of metal,2018-10-01,2018,10,11.594660912767969
Articles of metal,2018-11-01,2018,11,11.635749634001565
Articles of metal,2018-12-01,2018,12,10.881013138580911
Articles of metal,2019-01-01,2019,1,11.347941461086885
Articles of metal,2019-02-01,2019,2,11.244845354157226
Articles of metal,2019-03-01,2019,3,11.424604466325361
Articles of metal,2019-04-01,2019,4,10.299603689242979
Articles of wood,2014-01-01,2014,1,0.1493727919918344
Articles of wood,2014-02-01,2014,2,0.447871598969772
Articles of wood,2014-03-01,2014,3,0.7042863355549822
Articles of wood,2014-04-01,2014,4,0.518516640462636
Articles of wood,2014-05-01,2014,5,0.04993704310645713
Articles of wood,2014-06-01,2014,6,0.6019989850343901
Articles of wood,2014-07-01,2014,7,0.9928882740834326
Articles of wood,2014-08-01,2014,8,0.15087353696927547
Articles of wood,2014-09-01,2014,9,0.06545738649918814
Articles of wood,2014-10-01,2014,10,0.44572895471262747
Articles of wood,2014-11-01,2014,11,0.13969221533070486
Articles of wood,2014-12-01,2014,12,0.5008759012376545
Articles of wood,2015-01-01,2015,1,0.3310906562887743
Articles of wood,2015-02-01,2015,2,0.5421864363025028
Articles of wood,2015-03-01,2015,3,0.724996042253297
Articles of wood,2015-04-01,2015,4,0.8947324794176366
Articles of wood,2015-05-01,2015,5,0.181760277851156
Articles of wood,2015-06-01,2015,6,0.2038012956621562
Articles of wood,2015-07-01,2015,7,0.6083775520809135
Articles of wood,2015-08-01,2015,8,0.0
Articles of wood,2015-09-01,2015,9,0.8324287293162758
Articles of wood,2015-10-01,2015,10,0.4721344095829243
Articles of wood,2015-11-01,2015,11,0.14041042547661794
Articles of wood,2015-12-01,2015,12,0.9028218433763197
Articles of wood,2016-01-01,2016,1,0.2280950405511521
Articles of wood,2016-02-01,2016,2,0.6841561452855722
Articles of wood,2016-03-01,2016,3,0.7108188956338076
Articles of wood,2016-04-01,2016,4,1.2296005704701343
Articles of wood,2016-05-01,2016,5,0.3007890801642493
Articles of wood,2016-06-01,2016,6,0.6926946191973803
Articles of wood,2016-07-01,2016,7,1.6106102860853662
Articles of wood,2016-08-01,2016,8,0.14041042547661794
Articles of wood,2016-09-01,2016,9,0.08322840200251685
Articles of wood,2016-10-01,2016,10,1.06198241656706
Articles of wood,2016-11-01,2016,11,0.6211285643461528
Articles of wood,2016-12-01,2016,12,0.15609202823355478
Articles of wood,2017-01-01,2017,1,0.7315706939807843
Articles of wood,2017-02-01,2017,2,0.5657658796636724
